12/08/20 13:57:37:266 | [INFO] |  |  |  | AGSHelper |  |  | 7088 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_hjltmn
12/08/20 13:57:37:266 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 7088 | Sandbox for AdobeGCData folder
12/08/20 13:57:37:266 | [INFO] |  |  |  | IPCXMLUtilityLog |  |  | 7088 | IPC processReceivedData: enumValue 1
12/08/20 13:57:37:266 | [INFO] |  |  |  | IPCXMLUtilityLog |  |  | 7088 | IPC processReceivedData: value GCUseAdobeGenuineReplayData
12/08/20 13:57:37:266 | [INFO] |  |  |  | IPCXMLUtilityLog |  |  | 7088 | IPC processReceivedData: value AdobeGenuineReplayData
12/08/20 13:57:37:274 | [INFO] |  |  |  | IPCXMLUtilityLog |  |  | 7088 | IPC prepareData: 3 ||  *  | 
12/08/20 13:57:38:421 | [INFO] |  |  |  | AGSHelper |  |  | 11712 | AGSHelper Started 7.2.0.32
12/08/20 13:57:38:422 | [INFO] |  |  |  | AGSHelper |  |  | 11712 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_ltfzfn
12/08/20 13:57:38:423 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 11712 | Sandbox for AdobeGCData folder
12/08/20 13:57:38:423 | [INFO] |  |  |  | IPCXMLUtilityLog |  |  | 11712 | IPC processReceivedData: enumValue 6
12/08/20 13:57:38:533 | [INFO] |  |  |  | IPCXMLUtilityLog |  |  | 11712 | IPC prepareData: 1 || 
12/08/20 13:57:39:499 | [INFO] |  |  |  | AGSHelper |  |  | 11836 | AGSHelper Started 7.2.0.32
12/08/20 13:57:39:500 | [INFO] |  |  |  | AGSHelper |  |  | 11836 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_oeiepo
12/08/20 13:57:39:500 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 11836 | Sandbox for AdobeGCData folder
12/08/20 13:57:39:500 | [INFO] |  |  |  | IPCXMLUtilityLog |  |  | 11836 | IPC processReceivedData: enumValue 3
12/08/20 13:57:39:529 | [INFO] |  |  |  | IPCXMLUtilityLog |  |  | 11836 | IPC prepareData: 1 || 
12/08/20 13:57:40:813 | [INFO] |  |  |  | AGSHelper |  |  | 3948 | AGSHelper Started 7.2.0.32
12/08/20 13:57:40:813 | [INFO] |  |  |  | AGSHelper |  |  | 3948 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_rgcrip
12/08/20 13:57:40:814 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 3948 | Sandbox for AdobeGCData folder
12/08/20 13:57:40:814 | [INFO] |  |  |  | IPCXMLUtilityLog |  |  | 3948 | IPC processReceivedData: enumValue 2
12/08/20 13:57:40:814 | [INFO] |  |  |  | IPCXMLUtilityLog |  |  | 3948 | IPC processReceivedData: value true
12/08/20 13:57:40:814 | [INFO] |  |  |  | IPCXMLUtilityLog |  |  | 3948 | IPC processReceivedData: value GCUseAdobeGenuineReplayData
12/08/20 13:57:40:814 | [INFO] |  |  |  | IPCXMLUtilityLog |  |  | 3948 | IPC processReceivedData: value AdobeGenuineReplayData
12/08/20 13:57:40:837 | [INFO] |  |  |  | IPCXMLUtilityLog |  |  | 3948 | IPC prepareData: 1 || 
12/08/20 13:57:50:247 | [INFO] |  |  |  | AGSService |  |  | 3448 | *********** AGS Service Launched = 7.2.0.32 ************
12/08/20 13:57:50:248 | [INFO] |  |  |  | AGSService |  |  | 3448 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_olllsm
12/08/20 13:57:50:248 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 3448 | Sandbox for SLCachePath
12/08/20 13:57:50:413 | [INFO] |  |  |  | AGSHelper |  |  | 4696 | AGSHelper Started 7.2.0.32
12/08/20 13:57:50:414 | [INFO] |  |  |  | AGSHelper |  |  | 4696 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_uyhdvn
12/08/20 13:57:50:414 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 4696 | Sandbox for SLCachePath
12/08/20 13:57:51:744 | [INFO] |  |  |  | AGSHelper |  |  | 2368 | AGSHelper Started 7.2.0.32
12/08/20 13:57:51:745 | [INFO] |  |  |  | AGSHelper |  |  | 2368 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_bseogh
12/08/20 13:57:51:745 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 2368 | Sandbox for SLCachePath
12/08/20 13:57:51:954 | [INFO] |  |  |  | AGSService |  |  | 7096 | *********** AGS Service Launched = 7.2.0.32 ************
12/08/20 13:57:51:954 | [INFO] |  |  |  | AGSService |  |  | 7096 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_bseogh
12/08/20 13:57:51:955 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 7096 | Sandbox for SLCachePath
12/08/20 13:57:52:938 | [INFO] |  |  |  | AGSHelper |  |  | 12180 | AGSHelper Started 7.2.0.32
12/08/20 13:57:52:938 | [INFO] |  |  |  | AGSHelper |  |  | 12180 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_evgbri
12/08/20 13:57:52:938 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 12180 | Sandbox for SLCachePath
12/08/20 13:57:53:182 | [INFO] |  |  |  | AGSService |  |  | 11556 | *********** AGS Service Launched = 7.2.0.32 ************
12/08/20 13:57:53:182 | [INFO] |  |  |  | AGSService |  |  | 11556 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_evgbri
12/08/20 13:57:53:183 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 11556 | Sandbox for SLCachePath
12/08/20 13:57:54:028 | [INFO] |  |  |  | AGSHelper |  |  | 1168 | AGSHelper Started 7.2.0.32
12/08/20 13:57:54:029 | [INFO] |  |  |  | AGSHelper |  |  | 1168 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_ifagji
12/08/20 13:57:54:029 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 1168 | Sandbox for SLCachePath
12/08/20 13:57:54:272 | [INFO] |  |  |  | AGSService |  |  | 12204 | *********** AGS Service Launched = 7.2.0.32 ************
12/08/20 13:57:54:272 | [INFO] |  |  |  | AGSService |  |  | 12204 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_lqumcj
12/08/20 13:57:54:273 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 12204 | Sandbox for SLCachePath
12/08/20 13:57:55:108 | [INFO] |  |  |  | AGSHelper |  |  | 12068 | AGSHelper Started 7.2.0.32
12/08/20 13:57:55:109 | [INFO] |  |  |  | AGSHelper |  |  | 12068 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_oswzmk
12/08/20 13:57:55:109 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 12068 | Sandbox for SLCachePath
12/08/20 13:57:55:359 | [INFO] |  |  |  | AGSService |  |  | 4420 | *********** AGS Service Launched = 7.2.0.32 ************
12/08/20 13:57:55:360 | [INFO] |  |  |  | AGSService |  |  | 4420 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_oswzmk
12/08/20 13:57:55:360 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 4420 | Sandbox for SLCachePath
12/08/20 13:57:56:209 | [INFO] |  |  |  | AGSHelper |  |  | 5252 | AGSHelper Started 7.2.0.32
12/08/20 13:57:56:209 | [INFO] |  |  |  | AGSHelper |  |  | 5252 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_rcqefl
12/08/20 13:57:56:209 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 5252 | Sandbox for SLCachePath
12/08/20 13:57:57:283 | [INFO] |  |  |  | AGSHelper |  |  | 9208 | AGSHelper Started 7.2.0.32
12/08/20 13:57:57:283 | [INFO] |  |  |  | AGSHelper |  |  | 9208 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_vntkyl
12/08/20 13:57:57:283 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 9208 | Sandbox for SLCachePath
12/08/20 13:57:59:453 | [INFO] |  |  |  | AGSHelper |  |  | 12072 | AGSHelper Started 7.2.0.32
12/08/20 13:57:59:453 | [INFO] |  |  |  | AGSHelper |  |  | 12072 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_bapcbf
12/08/20 13:57:59:454 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 12072 | Sandbox for SLCachePath
12/08/20 13:58:00:187 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 11560 | *********** AGM Service Launched = 7.2.0.32 ************
12/08/20 13:58:00:187 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 11560 | AGM-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_bapcbf
12/08/20 13:58:00:188 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 11560 | Sandbox for SLCachePath
12/08/20 13:58:00:538 | [INFO] |  |  |  | AGSHelper |  |  | 616 | AGSHelper Started 7.2.0.32
12/08/20 13:58:00:539 | [INFO] |  |  |  | AGSHelper |  |  | 616 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_ekjitf
12/08/20 13:58:00:540 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 616 | Sandbox for SLCachePath
12/08/20 13:58:01:274 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 7724 | *********** AGM Service Launched = 7.2.0.32 ************
12/08/20 13:58:01:275 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 7724 | AGM-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_imlneg
12/08/20 13:58:01:275 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 7724 | Sandbox for SLCachePath
12/08/20 13:58:01:610 | [INFO] |  |  |  | AGSHelper |  |  | 8584 | AGSHelper Started 7.2.0.32
12/08/20 13:58:01:610 | [INFO] |  |  |  | AGSHelper |  |  | 8584 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_imlneg
12/08/20 13:58:01:611 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 8584 | Sandbox for SLCachePath
12/08/20 13:58:02:687 | [INFO] |  |  |  | AGSHelper |  |  | 10636 | AGSHelper Started 7.2.0.32
12/08/20 13:58:02:688 | [INFO] |  |  |  | AGSHelper |  |  | 10636 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_lxfswh
12/08/20 13:58:02:688 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 10636 | Sandbox for SLCachePath
12/08/20 13:58:03:769 | [INFO] |  |  |  | AGSHelper |  |  | 8248 | AGSHelper Started 7.2.0.32
12/08/20 13:58:03:770 | [INFO] |  |  |  | AGSHelper |  |  | 8248 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_ohigpi
12/08/20 13:58:03:770 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 8248 | Sandbox for SLCachePath
